"Ramon Hernandez", "BAL", "Catcher", 72, 210, 30.78
"Miguel Tejada", "BAL", "Shortstop", 69, 209, 30.77
"Jeff Fiorentino", "BAL", "Outfielder", 73, 188, 23.88
"Corey Patterson", "BAL", "Outfielder", 69, 180, 27.55
"Hayden Penn", "BAL", "Starting Pitcher", 75, 185, 22.38
"Jaret Wright", "BAL", "Starting Pitcher", 74, 230, 31.17
"Danys Baez", "BAL", "Relief Pitcher", 75, 225, 29.47
"Kurt Birkins", "BAL", "Relief Pitcher", 74, 188, 26.55
"Jeremy Guthrie", "BAL", "Relief Pitcher", 73, 200, 27.9
"Tadahito Iguchi", "CWS", "Second Baseman", 69, 185, 32.24
"Josh Fields", "CWS", "Third Baseman", 73, 215, 24.21
"Pablo Ozuna", "CWS", "Outfielder", 70, 186, 32.51
"Rob Mackowiak", "CWS", "Outfielder", 70, 195, 30.69
"Heath Phillips", "CWS", "Starting Pitcher", 75, 200, 24.94
"Javier Vazquez", "CWS", "Starting Pitcher", 74, 205, 30.6
"Andrew Sisco", "CWS", "Relief Pitcher", 81, 260, 24.13
"Sean Tracey", "CWS", "Relief Pitcher", 75, 210, 26.29
"Mike Napoli", "ANA", "Catcher", 72, 205, 25.33
"Robb Quinlan", "ANA", "First Baseman", 73, 200, 29.95
"Dallas McPherson", "ANA", "Third Baseman", 76, 230, 26.6
"Terry Evans", "ANA", "Outfielder", 75, 200, 25.11
"Chone Figgins", "ANA", "Outfielder", 68, 160, 29.1
"Kelvim Escobar", "ANA", "Starting Pitcher", 73, 210, 30.89
"Jered Weaver", "ANA", "Starting Pitcher", 79, 205, 24.41
"Darren Oliver", "ANA", "Relief Pitcher", 74, 220, 36.4
"Greg Jones", "ANA", "Relief Pitcher", 74, 195, 30.29
"Kevin Youkilis", "BOS", "First Baseman", 73, 220, 27.96
"Mike Lowell", "BOS", "Third Baseman", 75, 210, 33.01
"Brandon Moss", "BOS", "Outfielder", 72, 180, 23.46
"David Ortiz", "BOS", "Designated Hitter", 76, 230, 31.28
"Matt Clement", "BOS", "Starting Pitcher", 75, 210, 32.55
"Jon Lester", "BOS", "Starting Pitcher", 74, 190, 23.15
"Craig Breslow", "BOS", "Relief Pitcher", 73, 180, 26.56
"J.C. Romero", "BOS", "Relief Pitcher", 71, 198, 30.74
"Nick DeBarr", "BOS", "Relief Pitcher", 76, 220, 23.52
"Joe Inglett", "CLE", "Second Baseman", 70, 180, 28.67
"Andy Marte", "CLE", "Third Baseman", 73, 185, 23.36
"Grady Sizemore", "CLE", "Outfielder", 74, 200, 24.58
"Casey Blake", "CLE", "Outfielder", 74, 210, 33.52
"Jake Westbrook", "CLE", "Starting Pitcher", 75, 185, 29.42
"Brian Slocum", "CLE", "Relief Pitcher", 76, 200, 25.93
"Juan Lara", "CLE", "Relief Pitcher", 74, 190, 26.09
"Roberto Hernandez", "CLE", "Relief Pitcher", 76, 250, 42.3
"Mike Piazza", "OAK", "Catcher", 75, 215, 38.49
"Dan Johnson", "OAK", "First Baseman", 74, 220, 27.56
"Bobby Crosby", "OAK", "Shortstop", 75, 195, 27.13
"Milton Bradley", "OAK", "Outfielder", 72, 205, 28.88
"Ryan Goleski", "OAK", "Outfielder", 75, 225, 24.95
"Joe Blanton", "OAK", "Starting Pitcher", 75, 225, 26.22
"Joe Kennedy", "OAK", "Starting Pitcher", 76, 237, 27.77
"Justin Duchscherer", "OAK", "Relief Pitcher", 75, 190, 29.28
"Scott Dunn", "OAK", "Relief Pitcher", 75, 200, 28.77
"Marcus McBeth", "OAK", "Relief Pitcher", 73, 185, 26.52
"Doug Mientkiewicz", "NYY", "First Baseman", 74, 206, 32.7
"Derek Jeter", "NYY", "Shortstop", 75, 195, 32.68
"Hideki Matsui", "NYY", "Outfielder", 74, 230, 32.72
"Mike Mussina", "NYY", "Starting Pitcher", 74, 185, 38.23
"Jeff Karstens", "NYY", "Starting Pitcher", 75, 175, 24.43
"Scott Proctor", "NYY", "Relief Pitcher", 73, 198, 30.16
"Jose Veras", "NYY", "Relief Pitcher", 77, 230, 26.36
"Mariano Rivera", "NYY", "Relief Pitcher", 74, 170, 37.25
"Chris Shelton", "DET", "First Baseman", 72, 220, 26.68
"Carlos Guillen", "DET", "Shortstop", 73, 204, 31.42
"Craig Monroe", "DET", "Outfielder", 73, 220, 30
"Marcus Thames", "DET", "Outfielder", 74, 205, 29.98
"Jeremy Bonderman", "DET", "Starting Pitcher", 74, 210, 24.34
"Kenny Rogers", "DET", "Starting Pitcher", 73, 211, 42.3
"Jason Grilli", "DET", "Relief Pitcher", 77, 210, 30.3
"Jordan Tata", "DET", "Relief Pitcher", 78, 220, 25.44
"Roman Colon", "DET", "Relief Pitcher", 78, 225, 27.55
"Richie Sexson", "SEA", "First Baseman", 80, 237, 32.17
"Yuniesky Betancourt", "SEA", "Shortstop", 70, 190, 25.08
"Jose Guillen", "SEA", "Outfielder", 71, 190, 30.79
"Ichiro Suzuki", "SEA", "Outfielder", 69, 172, 33.36
"Sean White", "SEA", "Starting Pitcher", 76, 195, 25.85
"Jeff Weaver", "SEA", "Starting Pitcher", 77, 200, 30.52
"J.J. Putz", "SEA", "Relief Pitcher", 77, 220, 30.02
"Jon Huber", "SEA", "Relief Pitcher", 74, 195, 25.65
"Josh Paul", "TB", "Catcher", 73, 200, 31.78
"Brendan Harris", "TB", "Second Baseman", 73, 200, 26.51
"Carl Crawford", "TB", "Outfielder", 74, 219, 25.57
"Delmon Young", "TB", "Outfielder", 75, 205, 21.46
"Casey Fossum", "TB", "Starting Pitcher", 73, 160, 29.14
"Jason Hammel", "TB", "Starting Pitcher", 78, 200, 24.49
"Jeff Ridgway", "TB", "Relief Pitcher", 75, 180, 26.54
"Dan Miceli", "TB", "Relief Pitcher", 72, 215, 36.47
"Scott Dohmann", "TB", "Relief Pitcher", 73, 181, 29.04
"Ross Gload", "KC", "First Baseman", 72, 185, 30.9
"Angel Berroa", "KC", "Shortstop", 72, 175, 29.09
"David DeJesus", "KC", "Outfielder", 72, 175, 27.2
"Emil Brown", "KC", "Outfielder", 74, 200, 32.17
"Scott Elarton", "KC", "Starting Pitcher", 80, 240, 31.02
"Brian Bannister", "KC", "Starting Pitcher", 74, 202, 26
"Jimmy Gobble", "KC", "Relief Pitcher", 75, 190, 25.62
"Ken Ray", "KC", "Relief Pitcher", 74, 200, 32.26
"Gerald Laird", "TEX", "Catcher", 74, 220, 27.3
